instâncias,dijkstra,rdijkstra,rdijkstra-v2,rauction,rauction-v2
Arquivo: 250_x_250-6n+0.gridgen,,172,174,172,234,200,
Arquivo: 500_x_500-6n+25.gridgen,,3282,3377,3539,3675,3278,
Arquivo: 150_x_150-6n+50.gridgen,,47,41,37,103,80,
Arquivo: 100_x_100-6n+25.gridgen,,7,7,7,38,31,
